solution_id,rank,score_bytes,score_gb,predicted_time_s,peak_memory_mib,status,mip_solve_time_s
0,1,128450560000,119.62890625,7.106957,15000.0,UNKNOWN,0.41
1,2,128450560000,119.62890625,7.065566,15000.0,UNKNOWN,0.38
2,3,128450560000,119.62890625,7.079363,15000.0,UNKNOWN,0.38
3,4,128450560000,119.62890625,7.079363,15000.0,UNKNOWN,0.38
4,5,128450560000,119.62890625,7.037972,15000.0,UNKNOWN,0.38
5,6,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.38
6,7,125829120000,117.1875,7.079363,15000.0,UNKNOWN,0.38
7,8,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.41
8,9,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.38
9,10,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
10,11,125829120000,117.1875,7.106957,15000.0,UNKNOWN,0.4
11,12,125829120000,117.1875,7.051769,15000.0,UNKNOWN,0.39
12,13,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.39
13,14,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.39
14,15,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.39
15,16,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
16,17,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
17,18,125829120000,117.1875,7.024175,15000.0,UNKNOWN,0.38
18,19,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.39
19,20,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.39
20,21,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
21,22,125829120000,117.1875,7.09316,15000.0,UNKNOWN,0.39
22,23,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.4
23,24,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.4
24,25,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
25,26,125829120000,117.1875,7.079363,15000.0,UNKNOWN,0.38
26,27,125829120000,117.1875,7.09316,15000.0,UNKNOWN,0.39
27,28,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.4
28,29,125829120000,117.1875,7.079363,15000.0,UNKNOWN,0.39
29,30,125829120000,117.1875,7.09316,15000.0,UNKNOWN,0.39
30,31,125829120000,117.1875,7.037972,15000.0,UNKNOWN,0.38
31,32,125829120000,117.1875,7.120754,15000.0,UNKNOWN,0.39
32,33,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.37
33,34,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
34,35,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
35,36,125829120000,117.1875,7.09316,15000.0,UNKNOWN,0.39
36,37,125829120000,117.1875,7.079363,15000.0,UNKNOWN,0.38
37,38,125829120000,117.1875,7.079363,15000.0,UNKNOWN,0.37
38,39,125829120000,117.1875,7.024175,15000.0,UNKNOWN,0.38
39,40,125829120000,117.1875,7.065566,15000.0,UNKNOWN,0.38
40,41,123207680000,114.74609375,7.024175,15000.0,UNKNOWN,0.38
41,42,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
42,43,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.38
43,44,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
44,45,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
45,46,123207680000,114.74609375,7.065566,15000.0,UNKNOWN,0.39
46,47,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.39
47,48,123207680000,114.74609375,7.065566,15000.0,UNKNOWN,0.38
48,49,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.39
49,50,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.38
50,51,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
51,52,123207680000,114.74609375,7.065566,15000.0,UNKNOWN,0.38
52,53,123207680000,114.74609375,7.134551,15000.0,UNKNOWN,0.38
53,54,123207680000,114.74609375,7.09316,15000.0,UNKNOWN,0.39
54,55,123207680000,114.74609375,7.037972,15000.0,UNKNOWN,0.39
55,56,123207680000,114.74609375,7.09316,15000.0,UNKNOWN,0.39
56,57,123207680000,114.74609375,7.09316,15000.0,UNKNOWN,0.39
57,58,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.4
58,59,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.38
59,60,123207680000,114.74609375,7.037972,15000.0,UNKNOWN,0.38
60,61,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
61,62,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.39
62,63,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.38
63,64,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.38
64,65,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.39
65,66,123207680000,114.74609375,7.09316,15000.0,UNKNOWN,0.38
66,67,123207680000,114.74609375,7.051769,15000.0,UNKNOWN,0.39
67,68,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.37
68,69,123207680000,114.74609375,7.079363,15000.0,UNKNOWN,0.38
69,70,120586240000,112.3046875,7.134551,15000.0,UNKNOWN,0.38
70,71,120586240000,112.3046875,7.037972,15000.0,UNKNOWN,0.38
71,72,120586240000,112.3046875,7.037972,15000.0,UNKNOWN,0.38
72,73,120586240000,112.3046875,7.037972,15000.0,UNKNOWN,0.38
73,74,120586240000,112.3046875,7.051769,15000.0,UNKNOWN,0.38
74,75,120586240000,112.3046875,7.106957,15000.0,UNKNOWN,0.38
75,76,120586240000,112.3046875,7.175943,15000.0,UNKNOWN,0.39
76,77,117964800000,109.86328125,7.079363,15000.0,UNKNOWN,0.38
77,78,117964800000,109.86328125,7.106957,15000.0,UNKNOWN,0.38
78,79,117964800000,109.86328125,7.051769,15000.0,UNKNOWN,0.4
