solution_id,score_bytes,score_gb,predicted_time_s,predicted_time_ms,actual_time_ms,actual_time_s,peak_memory_mb,prediction_error_ms,prediction_error_pct
0,128450560000,119.62890625,7.106957,7106.957,6856.226,6.8562259999999995,16008.06,250.73100000000068,3.6569827190644046
1,128450560000,119.62890625,7.065566,7065.566,6803.068,6.803068000000001,16007.75,262.4979999999996,3.8585238307187226
2,128450560000,119.62890625,7.079363,7079.363,6839.116,6.839116,16007.75,240.2470000000003,3.512837039172903
3,128450560000,119.62890625,7.079363,7079.363,6817.842,6.817842,16008.12,261.52100000000064,3.835832511225702
4,128450560000,119.62890625,7.037972,7037.972,6761.18,6.76118,16008.06,276.79199999999946,4.093841607530038
5,125829120000,117.1875,7.037972,7037.972,6792.596,6.792596,16008.06,245.3760000000002,3.612403858554229
6,125829120000,117.1875,7.079363,7079.363,6838.174,6.838174,16007.75,241.1890000000003,3.5270965611579976
7,125829120000,117.1875,7.037972,7037.972,6798.273,6.798273,16007.75,239.69899999999961,3.525880764129355
8,125829120000,117.1875,7.037972,7037.972,6796.836,6.796836,16007.75,241.1359999999995,3.547768402827426
9,125829120000,117.1875,7.065566,7065.566,6815.517,6.815517,16009.0,250.04899999999998,3.668819254650821
10,125829120000,117.1875,7.106957,7106.957,6880.478,6.880478,16007.88,226.47900000000027,3.291617239383663
11,125829120000,117.1875,7.051769,7051.769,6856.869,6.856869,16007.94,194.90000000000055,2.8424051852237597
12,125829120000,117.1875,7.037972,7037.972,6807.778,6.807778,16007.88,230.1939999999995,3.381338228126703
13,125829120000,117.1875,7.065566,7065.566,6865.114,6.865113999999999,16007.69,200.45200000000023,2.919864112963022
14,125829120000,117.1875,7.065566,7065.566,6827.398,6.8273980000000005,16007.75,238.16799999999967,3.4884153523787487
15,125829120000,117.1875,7.065566,7065.566,6798.125,6.798125,16007.75,267.4409999999998,3.9340406362048332
16,125829120000,117.1875,7.065566,7065.566,6814.736,6.814736,16007.88,250.82999999999993,3.680700176793348
17,125829120000,117.1875,7.024175,7024.174999999999,6788.651,6.788651,16008.44,235.52399999999943,3.4693785260134806
18,125829120000,117.1875,7.037972,7037.972,6773.165,6.773165,16007.88,264.8069999999998,3.9096493293755543
19,125829120000,117.1875,7.037972,7037.972,6818.194,6.818194,16007.88,219.77799999999934,3.2234049075165556
20,125829120000,117.1875,7.065566,7065.566,6800.823,6.800823,16007.75,264.7429999999995,3.8928082674699738
21,125829120000,117.1875,7.09316,7093.16,6834.369,6.834369,16008.56,258.79100000000017,3.7866114633260244
22,125829120000,117.1875,7.065566,7065.566,6814.773,6.814773,16008.31,250.79299999999967,3.6801372547552154
23,125829120000,117.1875,7.065566,7065.566,6822.024,6.822024000000001,16007.81,243.54199999999946,3.5699376020957923
24,125829120000,117.1875,7.065566,7065.566,6794.912,6.794912,16007.88,270.65399999999954,3.983186242882903
25,125829120000,117.1875,7.079363,7079.363,6851.386,6.851386000000001,16007.75,227.97699999999986,3.327458123071738
26,125829120000,117.1875,7.09316,7093.16,6873.784,6.873784,16007.94,219.3760000000002,3.1914881235721144
27,125829120000,117.1875,7.065566,7065.566,6799.794,6.7997939999999994,16007.88,265.77199999999993,3.908530170178684
28,125829120000,117.1875,7.079363,7079.363,6850.778,6.850778,16008.81,228.58500000000004,3.3366283362269225
29,125829120000,117.1875,7.09316,7093.16,6826.709,6.826709,16008.81,266.451,3.903066616725571
30,125829120000,117.1875,7.037972,7037.972,6828.88,6.82888,16007.88,209.09199999999964,3.06187837537048
31,125829120000,117.1875,7.120754,7120.754,6860.785,6.860785,16008.0,259.96900000000005,3.789201964498232
32,125829120000,117.1875,7.065566,7065.566,6836.939,6.836939,16008.0,228.6269999999995,3.343996487316905
33,125829120000,117.1875,7.065566,7065.566,6819.522,6.819522,16008.0,246.04399999999987,3.6079361574022326
34,125829120000,117.1875,7.065566,7065.566,6883.26,6.88326,16008.12,182.30599999999959,2.6485415340986624
35,125829120000,117.1875,7.09316,7093.16,6870.017,6.870017,16009.06,223.14300000000003,3.248070565182008
36,125829120000,117.1875,7.079363,7079.363,6814.471,6.814470999999999,16007.81,264.89200000000073,3.887198287291864
37,125829120000,117.1875,7.079363,7079.363,6819.251,6.819251,16007.75,260.1120000000001,3.8143778546940137
38,125829120000,117.1875,7.024175,7024.174999999999,6789.408,6.789408000000001,16007.75,234.76699999999892,3.4578419797425477
39,125829120000,117.1875,7.065566,7065.566,6805.915,6.805915,16007.75,259.65099999999984,3.8150785015681192
40,123207680000,114.74609375,7.024175,7024.174999999999,6787.897,6.787897,16008.38,236.27799999999934,3.480871910696337
41,123207680000,114.74609375,7.079363,7079.363,6801.578,6.801578,16007.75,277.78499999999985,4.084125771989968
42,123207680000,114.74609375,7.051769,7051.769,6812.017,6.812017,16007.75,239.7520000000004,3.519544945351728
43,123207680000,114.74609375,7.079363,7079.363,6831.352,6.831352,16007.75,248.01100000000042,3.6304819309559866
44,123207680000,114.74609375,7.079363,7079.363,6864.025,6.864025,16007.75,215.33800000000065,3.137197198436787
45,123207680000,114.74609375,7.065566,7065.566,6827.761,6.827761000000001,16007.75,237.80499999999938,3.4829133591524273
46,123207680000,114.74609375,7.051769,7051.769,6842.667,6.8426670000000005,16009.12,209.10199999999986,3.0558552681286386
47,123207680000,114.74609375,7.065566,7065.566,6814.813,6.814813,16008.25,250.7529999999997,3.6795286972657903
48,123207680000,114.74609375,7.051769,7051.769,6824.77,6.82477,16007.88,226.9989999999998,3.326104762504814
49,123207680000,114.74609375,7.079363,7079.363,6836.58,6.83658,16008.0,242.78300000000036,3.551234681668325
50,123207680000,114.74609375,7.079363,7079.363,6846.974,6.846974,16007.88,232.38900000000012,3.394039469114387
51,123207680000,114.74609375,7.065566,7065.566,6834.141,6.834141,16007.75,231.42500000000018,3.386307072095823
52,123207680000,114.74609375,7.134551,7134.551,6864.264,6.864264,16007.75,270.28700000000026,3.937596222989096
53,123207680000,114.74609375,7.09316,7093.16,6839.995,6.839995,16007.75,253.16499999999996,3.7012453956472187
54,123207680000,114.74609375,7.037972,7037.972,6765.458,6.765458,16007.75,272.5140000000001,4.028019980317668
55,123207680000,114.74609375,7.09316,7093.16,6878.155,6.878155,16007.75,215.0050000000001,3.125910945595151
56,123207680000,114.74609375,7.09316,7093.16,6834.084,6.834084,16008.25,259.076,3.790939648971245
57,123207680000,114.74609375,7.051769,7051.769,6792.122,6.792122,16008.69,259.64699999999993,3.8227670233249627
58,123207680000,114.74609375,7.051769,7051.769,6816.175,6.816175,16007.75,235.59400000000005,3.4563959992224382
59,123207680000,114.74609375,7.037972,7037.972,6790.747,6.7907470000000005,16007.75,247.22499999999945,3.6406156789525435
60,123207680000,114.74609375,7.079363,7079.363,6809.759,6.809759,16007.88,269.60400000000027,3.959082839789195
61,123207680000,114.74609375,7.079363,7079.363,6804.121,6.804121,16007.75,275.2420000000002,4.045224945294185
62,123207680000,114.74609375,7.051769,7051.769,6760.248,6.760248,16007.75,291.52100000000064,4.31228262631786
63,123207680000,114.74609375,7.079363,7079.363,6813.609,6.8136090000000005,16008.44,265.7539999999999,3.9003412141788574
64,123207680000,114.74609375,7.051769,7051.769,6802.779,6.802779,16007.75,248.98999999999978,3.660121841382761
65,123207680000,114.74609375,7.09316,7093.16,6853.605,6.853605,16007.75,239.5550000000003,3.4953137801201017
66,123207680000,114.74609375,7.051769,7051.769,6812.522,6.8125219999999995,16007.88,239.2470000000003,3.511871227718608
67,123207680000,114.74609375,7.079363,7079.363,6821.175,6.821175,16007.88,258.1880000000001,3.785095676331425
68,123207680000,114.74609375,7.079363,7079.363,6864.666,6.864666000000001,16007.75,214.69700000000012,3.127566585176906
69,120586240000,112.3046875,7.134551,7134.551,6872.686,6.872686,16008.44,261.8650000000007,3.8102279079824206
70,120586240000,112.3046875,7.037972,7037.972,6778.832,6.778832,16007.69,259.1399999999994,3.8227824498379572
71,120586240000,112.3046875,7.037972,7037.972,6796.051,6.796051,16008.19,241.92099999999937,3.5597290249881786
72,120586240000,112.3046875,7.037972,7037.972,6779.509,6.779509,16007.81,258.46299999999974,3.812414733869366
73,120586240000,112.3046875,7.051769,7051.769,6786.641,6.7866409999999995,16007.75,265.1280000000006,3.906615953311817
74,120586240000,112.3046875,7.106957,7106.957,6853.722,6.853721999999999,16007.69,253.23500000000058,3.6948536867996777
75,120586240000,112.3046875,7.175943,7175.943,6933.379,6.9333789999999995,16007.75,242.5640000000003,3.498496187789537
76,117964800000,109.86328125,7.079363,7079.363,6848.775,6.848775,16007.88,230.58800000000065,3.3668502761442833
77,117964800000,109.86328125,7.106957,7106.957,6850.307,6.850307,16007.88,256.65000000000055,3.7465474175099094
78,117964800000,109.86328125,7.051769,7051.769,6812.009,6.812009,16008.62,239.76000000000022,3.5196665183501694
79,117964800000,109.86328125,7.09316,7093.16,6870.653,6.870653,16008.75,222.5069999999996,3.238513136960921
80,117964800000,109.86328125,7.065566,7065.566,6790.182,6.790182,16007.75,275.384,4.0556203059063805
81,117964800000,109.86328125,7.079363,7079.363,6856.687,6.856687,16008.31,222.67600000000039,3.247574229361795
82,117964800000,109.86328125,7.09316,7093.16,6849.671,6.849671,16007.75,243.48899999999958,3.5547546736186244
83,117964800000,109.86328125,7.079363,7079.363,6854.278,6.854278,16007.75,225.08500000000004,3.2838615533247997
84,117964800000,109.86328125,7.037972,7037.972,6775.351,6.775351,16007.69,262.6210000000001,3.8761239085620818
85,117964800000,109.86328125,7.106957,7106.957,6846.28,6.84628,16007.75,260.6770000000006,3.8075714110436705
86,117964800000,109.86328125,7.079363,7079.363,6836.585,6.836585,16008.38,242.77800000000025,3.551158948510115
87,117964800000,109.86328125,7.09316,7093.16,6829.323,6.8293230000000005,16007.69,263.83699999999953,3.863296552235112
88,117964800000,109.86328125,7.037972,7037.972,6764.77,6.76477,16007.88,273.2019999999993,4.038599981965378
89,117964800000,109.86328125,7.09316,7093.16,6846.915,6.846915,16008.62,246.2449999999999,3.596437227568911
90,117964800000,109.86328125,7.079363,7079.363,6840.258,6.8402579999999995,16007.88,239.10500000000047,3.4955552846106164
91,117964800000,109.86328125,7.051769,7051.769,6820.126,6.820126,16007.88,231.64300000000003,3.3964621767984933
92,117964800000,109.86328125,7.037972,7037.972,6787.315,6.7873149999999995,16007.75,250.65700000000015,3.6930214672517803
93,117964800000,109.86328125,7.065566,7065.566,6824.738,6.824738,16007.88,240.82799999999952,3.528750847285266
94,117964800000,109.86328125,7.079363,7079.363,6813.624,6.813624,16009.19,265.7390000000005,3.9001124805243217
95,117964800000,109.86328125,7.051769,7051.769,6811.305,6.811305,16007.75,240.46399999999994,3.5303660605419953
96,117964800000,109.86328125,7.120754,7120.754,6859.648,6.859648,16007.88,261.10599999999977,3.8064052266238697
97,117964800000,109.86328125,7.065566,7065.566,6814.735,6.814735,16008.0,250.83100000000013,3.6807153909873263
98,117964800000,109.86328125,7.079363,7079.363,6838.647,6.838647,16007.88,240.71600000000035,3.519936034130733
99,117964800000,109.86328125,7.037972,7037.972,6786.484,6.786484000000001,16007.88,251.48799999999937,3.7057186018562684
